StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}"
EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/New_York""}"
Status,Response Type,"{""ImportId"":""status""}"
IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
Progress,Progress,"{""ImportId"":""progress""}"
Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}"
ResponseId,Response ID,"{""ImportId"":""_recordId""}"
RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
Q2,Do you have any feedback or thoughts on today's workshop?,"{""ImportId"":""QID2_TEXT""}"
Q1_1,"Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was interesting.","{""ImportId"":""QID1_1""}"
Q1_2,"Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was frustrating.","{""ImportId"":""QID1_2""}"
Q1_3,"Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was enjoyable.","{""ImportId"":""QID1_3""}"
Q1_4,"Thinking back to today's workshop, please rate your agreement with the following statements. - What we were doing was relevant to my teaching.","{""ImportId"":""QID1_4""}"
Survey,eoc5not,eoc5not
